Name,Titel,Position,Organisation,Fachgebiet,Expertise,Email,LinkedIn,Twitter,Website,Standort,Tags,Letzte Aktualisierung
Aidan Gomez,Co-Founder and CEO,Co-Founder and CEO,,,Artificial Intelligence; Natural Language Processing,,,,,,AI Technology; Enterprise AI; Natural Language Processing; Machine Learning,
Prof. Dr. Alena Buyx,Prof. Dr.,"Vorsitzende, Direktorin des Instituts für Geschichte und Ethik der Medizin (IGEM)",,,Medizinethik; Bioethik; Gesundheitstechnologien; Digitale Medizin; KI in der Medizin,,,,,,Medizinethik; Bioethik; Gesundheitstechnologien; Ethikrat; TUM,
Alessandro Alviani,,,,,Medien,,,,,,Medien; Lead Generative AI,
Alex Balazs,,,,,Tech,,,,,,Tech; Executive Vice President and Chief Technology Officer,
Alex Graves,,,,,Website,,,,,,"Website; AI, Recurrent Neural Networks",
Alex von Frankenberg,,,,,VC,,,,,,VC; Geschäftsführer,
Alexander Claas,,,,,KI für kleine Unternehmen,,,,,,KI für kleine Unternehmen; Gründer,
Alexander Machado,,,,,,,,,,,Head of TrustworthyAI (COE),
Alexander Vaselek,,,,,KI Ecosystem,,,,,,KI Ecosystem; CEO,
Alexandra Schmidt,,,,,,,,,,,0,
Alexandru Costin,,,,,Tech,,,,,,"Tech; Vice President, Generative AI & Sensei",
Almudena Pereira,,,,,Design,,,,,,Design; Creative Director,
Anastasis Germanidis,,,,,Tech,,,,,,Tech; Chief Technology Officer,
Andre Retterath,,,,,VC,,,,,,VC; Partner,
Andrea Gagliano,,,,,Media,,,,,,"Media; Sr. Director of Data Science, AI/ML",
Andrea Hickethier,,,,,,,,,,,"Director of Sales, Marketing & Loyalty",
Andreas Däubler,,,,,Robotik,,,,,,"Robotik; CTO, Gründer",
Andreas Preisser,,,,,Innovation,,,,,,Innovation; Keine spezifische Rolle genannt,
Andrew Feldman,,,,,Technologie,,,,,,Technologie; CEO,
Ankit Agrawal,,,,,Wissenschaft / KI und Quantensimulation,,,,,,Wissenschaft / KI und Quantensimulation; Wissenschaftlicher Mitarbeiter,
Anna Graf,,,,,KI Ecosystem,,,,,,KI Ecosystem; Innovation Lead Web3 und Metaverse,
Antonio Krüger,,,,,Künstliche Intelligenz und Mensch-Maschine-Interaktion,,,,,,Künstliche Intelligenz und Mensch-Maschine-Interaktion; CEO und wissenschaftlicher Direktor / Professor für Informatik,
Prof. Dr. Antonio Krüger,Prof. Dr.,,,,Künstliche Intelligenz; Mensch-Maschine-Interaktion; Informatik,,,,,,KI; HCI; Informatik; Forschung; Innovation,
Armin Kurrle,,,,,Data Science,,,,,,Data Science; Lead Data & AI Strategy,
Arnault Ioualalen,,,,,Unternehmensführung,,,,,,Unternehmensführung; CEO und F&E Direktor,
Arno Fuhrmann,,,,,,,,,,,Head of AI Engineering Team,
Arthur Mensch,,,,,Tech,,,,,,Tech; Chief Executive Officer,
Ashish Vaswani,,,,,Tech,,,,,,Tech; Co-Founder and CEO,
Asmita Dubey,,,,,Beauty,,,,,,Beauty; Chief Digital and Marketing Officer,
Axel Schubert,,,,,Management,,,,,,Management; Senior Partner,
Barnaby Skinner,,,,,Medien,,,,,,Medien; Vize-Chefredakteur Technologie & Entwicklung,
Bart de Witte,,,,,Akademisch,,,,,,"Akademisch; Gründer, Beirat im medizinischen Bereich",
Belinda Neal,,,,,Finance,,,,,,Finance; Chief Operating Officer for Core Engineering and Head of Engineering Partnerships,
Benedikt Bonnmann,,,,,Executive in IT services with a focus on artificial intelligence,,,,,,Executive in IT services with a focus on artificial intelligence; Member of the Executive Board,
